Row,Load_F1,Load_F2,Load_F3,RT_F1,RT_F2,RT_F3,Util_F1,Util_F2,Util_F3,Cold_F1,Cold_F2,Cold_F3
row_sim_5066,33.88493699983643,3.417234968015327,15.023759323202782,0.5082360277296245,1.0690059737735913,0.4985035798096138,0.43282268276863206,0.17233348858872846,0.4672128302148783,0.13569763090474682,0.654561052330569,0.16650079035185295
row_sim_5067,45.33008221830613,24.765473763382555,33.65299308599866,0.6351125269279835,0.6845766154174446,0.4345551304429132,0.1555682076975632,0.1639069377488996,0.2695660266153798,0.20803870487532564,0.27892756349952963,0.10017788596573354
row_sim_5068,56.6948738904915,2.823992510625806,27.008337922145497,0.45837416418554133,1.1549309149282538,0.4421768411481051,0.3264408539751382,0.09864661654135339,0.3706363199230646,0.09626750870374869,0.731437598736177,0.11737849779086892
row_sim_5069,21.708384264231494,6.431643100374734,57.05012120814989,0.653384763310584,0.8978970731925995,0.4251576254961827,0.24163010395667814,0.17158034528552457,0.3216768642162774,0.268327016783974,0.4938583815028902,0.07013510788465416
row_sim_5070,57.68950240542517,18.723714843654946,56.805660810810274,0.579404187088435,0.7435088877800968,0.4099846812134905,0.1485104800855138,0.1363959102527691,0.22514224419363865,0.1742697735477519,0.3430568216347615,0.073482988425114
row_sim_5071,2.1586577231209216,58.85471462065531,50.16412438369943,1.3254171783619562,0.4146298892068917,0.3995622121746031,0.03642714570858283,0.3081713672881898,0.32972864500880733,0.8627118644067797,0.07538937368828012,0.07174998458977994
row_sim_5072,12.899096737632274,35.99285187837858,47.908046774039704,0.9341564431341702,0.5698208246275134,0.43745705998638057,0.1255450308224327,0.21551303593690715,0.2704911449339384,0.4874769311890324,0.18044909369645595,0.0850015398829689
row_sim_5073,19.191972892266353,21.257419935965135,37.75691789679595,0.7979168812458798,0.6736667527709613,0.46007187390974863,0.1693969178497755,0.2133561389157433,0.293086700423685,0.3555472357419194,0.2682370820668693,0.09906531594559803
row_sim_5074,8.8682883534596,7.136726052858395,15.02582642325949,0.855803104339162,0.8161538957906382,0.5227084394345822,0.32422580074323126,0.36106634142091737,0.5314613650338184,0.43313093569982875,0.41658906065685725,0.16765404539080164
row_sim_5075,44.48852173355453,22.027623623372822,30.466125388025073,0.6267530738036632,0.7046771582719152,0.4486466878231445,0.1678115799803729,0.17176563806840692,0.27238307349665924,0.20358278921814835,0.2953225313359829,0.10931399888455103
row_sim_5076,11.767260880611584,11.686634757606837,39.04455299112686,0.8678565660430052,0.7440306354899983,0.45817434537922647,0.2027375625164517,0.25946929167558314,0.36325122362192086,0.4329922950612606,0.3447193723596862,0.09245610231953176
row_sim_5077,6.547096349513803,40.08705159662355,24.07207604831693,1.0585412847057587,0.505293491318589,0.46512605806174145,0.13642787259484726,0.3235547279849632,0.37631361435824773,0.613972602739726,0.12722712333506314,0.12453507759394639
row_sim_5078,40.292691271376654,22.934682147078547,50.77082840978742,0.6578670893405438,0.6945873037632428,0.4300530881680082,0.14581023060081322,0.15741839762611276,0.2345504673525654,0.2357134078898857,0.2906196048340687,0.08300023512814483
row_sim_5079,3.38059234447847,53.603173843140006,16.156237575423813,1.1590683281847343,0.43319573766081776,0.4702073938255737,0.1102121145856112,0.3985418034580871,0.4304143337066069,0.7315136476426799,0.08025864182397646,0.15097569325573434
row_sim_5080,2.600405487430624,33.76614509183684,13.500036111346729,1.2019256144190376,0.45838733818081806,0.5056036850384529,0.1237785016286645,0.5080277765491619,0.5075307909185339,0.7728768926925609,0.10717033580700405,0.17895160826284595
row_sim_5081,27.579227234887977,48.14873665342311,47.503228306851696,0.7461071896162812,0.562205190762996,0.4165342892698082,0.1277995023107003,0.16623688309035667,0.2325532858521823,0.3181996855345912,0.16719380521321844,0.07974038015762633
row_sim_5082,36.04311769619071,58.673420924025955,27.851878159997508,0.6855726548678569,0.5546203267044235,0.425959034167859,0.13720587731616263,0.15681851410907116,0.2546667829727844,0.2659283980582524,0.15533157498116051,0.10445468509984639
row_sim_5083,2.41133400177106,49.174537731137896,13.316567509908802,1.2261291219065318,0.4196312479601367,0.4849834068157962,0.09573304157549234,0.46511351950003954,0.4692682926829268,0.8006430868167203,0.07520382706206116,0.1693934054870375
row_sim_5084,10.615516599371619,4.247094821891171,19.7076016211364,0.7578326908765228,0.9377000540149701,0.48538448158807485,0.37810961388960873,0.29125506072874496,0.553874603733709,0.36142726792489077,0.5374868004223865,0.13557532800482583
row_sim_5085,19.603230074898566,18.20115334138882,35.61191673913221,0.7806063442840703,0.7086244120696138,0.45982475553722757,0.18390890423744632,0.21521730406517114,0.30964015073087914,0.3396021306663768,0.297285169396455,0.09936833165242316
row_sim_5086,45.104953051219944,56.269114782907984,5.688302216874848,0.749129297395655,0.6819705771835204,0.28542239578264195,0.11797619612120062,0.1274010117530714,0.47310186951545213,0.3048240761230361,0.2432648706321686,0.03197893152746426
row_sim_5087,9.065390857664411,35.41105850594781,5.933228852941758,0.9390773744392097,0.5289071683249026,0.4400752976275052,0.2194480210490959,0.3930456556689004,0.5415963550455619,0.5226854358419057,0.14248362337990947,0.14149361537469365
row_sim_5088,22.277318862924815,37.49190622123491,46.843674670729754,0.816259239259792,0.5933806352158687,0.43054033344347653,0.12378953394075276,0.17886871786130287,0.24646441605839417,0.371362497591058,0.19203948074240962,0.08577042242877654
row_sim_5089,13.095077283108996,40.09573456761586,38.76988646754044,0.9367856333492278,0.5568869528151977,0.4460950065249953,0.12818527382796002,0.21967138293016888,0.2825424051839146,0.4858904434432061,0.16517420422906162,0.09661636000275653
row_sim_5090,51.58398676918595,18.859162371051227,45.018007300046186,0.5979816477028287,0.7349661938368472,0.42232323422766466,0.15929993749441915,0.1505711318795431,0.24859018926226342,0.1854984320060819,0.3305785123966942,0.08482296321760055
row_sim_5091,45.1323918732676,14.389712792375885,37.28841237361773,0.6049595594427334,0.7984317328542883,0.4393036581636794,0.18608230892570818,0.16034749814802343,0.2765646985251967,0.19077814310317834,0.3830124575311438,0.09779593094944512
row_sim_5092,40.52596715572443,16.501983336705315,27.135409722110122,0.6310443266740418,0.7371196332418601,0.46160369900841497,0.19435292154981856,0.19164568668756102,0.29510510971305814,0.2046885934219734,0.3331772053083529,0.11928184948352188
row_sim_5093,26.174874749026756,46.42189862384362,0.0914407920289311,1.1738454503104307,0.8680034496604343,0.22223399950468245,0.047605790645879734,0.09413640555876882,0.954954954954955,0.6323472915866308,0.3455676733780761,0.009345794392523364
row_sim_5094,30.08654535682876,11.1012317731505,38.82817598492326,0.6494509990214795,0.8281862677497361,0.4425138069175692,0.21457263706738314,0.18212784461516163,0.31185073951412173,0.23352,0.4140127388535032,0.090716956592424
row_sim_5095,40.83811333510843,30.092534196180317,32.54467102997539,0.6610372372490545,0.6444879765949308,0.4422484703898323,0.15261727579813578,0.1686251670149714,0.2573473282442748,0.23266058805450263,0.23941115702479338,0.10378750614854894
row_sim_5096,18.937738433857366,18.833694624057266,44.71976773802911,0.7988063180207947,0.6991311989746222,0.45427343677555393,0.1619244697361614,0.204533427412242,0.28429706262700905,0.35983321751216124,0.29678688524590163,0.09099437148217636
row_sim_5097,7.947295477207869,46.30162371586292,39.31804023703543,1.0526846101626017,0.5003436329210016,0.43341058879590444,0.10805753713016021,0.25920387957163066,0.3105264412192274,0.6060722521137587,0.12664188351920694,0.0908734309623431
row_sim_5098,53.07425734509711,15.645674297377862,30.395434156381434,0.5745491610189324,0.761644578755814,0.4389403955315339,0.18944593002599247,0.17015706806282724,0.2827981725690957,0.1648206199930338,0.35717317487266553,0.10634905748851167
row_sim_5099,2.387421216177453,54.754769174534374,40.53971806771554,1.298130749227884,0.4244514945845684,0.415484271721485,0.04526748971193416,0.33351705010134053,0.3544015873784058,0.8486416558861578,0.08021799407209103,0.0865666178623719
row_sim_5100,37.39137118183292,43.97471759914686,17.0955149627239,0.6717999292469741,0.6014416922990237,0.4362256870250461,0.1596548568440319,0.18189581554227155,0.30181354655542036,0.24944679139006237,0.19231734873211148,0.12073819205505161
row_sim_5101,36.25142311169645,48.06526852879445,5.46315196000865,0.7666703523930349,0.6868217341426957,0.30746479714041464,0.13857899273488486,0.14892696597513494,0.48667736757624397,0.32164251207729466,0.24557075577483742,0.04563431700638881
row_sim_5102,57.531072512953436,53.51861380995401,57.782979092677536,0.6086784109890769,0.5454085941735386,0.3979439131104898,0.11242516727315413,0.1329817291391976,0.19270955623385772,0.19996528380489498,0.16531577169875042,0.07050708902797292
row_sim_5103,48.510493116444685,17.693949991737252,34.91425028469753,0.6079507579137814,0.7456008983966587,0.43898391015099264,0.17238276590847265,0.16368242270712188,0.26733440477557113,0.18746948738812041,0.3390273311897106,0.10247688819117391
row_sim_5104,7.253737213192001,45.262295563380064,9.260697976269185,1.0020038813381142,0.48550973687632054,0.47561053602251324,0.1777740189445196,0.37567626646264823,0.4594179682285409,0.5814841760640233,0.1101676990481946,0.1615348728714719
row_sim_5105,52.01609489870771,14.471389303143038,9.666693841611506,0.5406783788662676,0.795805957468663,0.43438540143735255,0.26359085453321235,0.20304028914638036,0.4052059052059052,0.1408146863499852,0.3942768536791655,0.13104325699745548
row_sim_5106,4.300716603273803,42.69633942664615,11.21291642545615,1.109182765094065,0.4583236213506694,0.4980799903116587,0.1531995661605206,0.440206129348893,0.4666389955380305,0.6847010095780481,0.09780316579024638,0.17761535752025362
row_sim_5107,11.90018533310011,10.223311401573559,18.382417591986233,0.8372415689591489,0.787422478007581,0.5194592422824076,0.267215288876798,0.30079642198595474,0.43364519132709617,0.3949370245666542,0.3679331413722874,0.1528207839287063
row_sim_5108,56.475625475997205,29.22296959156311,15.689632461380718,0.5895264260315051,0.6596541189849339,0.4306844028800483,0.17542255919413524,0.18161559888579387,0.3052094764702085,0.17276451476197202,0.26441303011677936,0.11977087311230689
row_sim_5109,10.264926044282308,1.1831401113410092,21.93130919174743,0.6236459631672787,1.1396527924401785,0.42550113319802824,0.5466701369684744,0.1775180856983862,0.6904874297635182,0.2931256540288175,0.7663254500529474,0.11248440866311374
row_sim_5110,6.648185379853625,1.6693691403662962,6.223633370853185,0.27486822440512715,0.3765005867392579,0.24265403999987536,0.9413288631514782,0.8443453941618598,0.9722000656876085,0.05746275159013679,0.15500961706592062,0.027108221653718872
row_sim_5111,19.145364907724762,45.06427890122539,4.065825757553152,0.8985750462695671,0.6261591375694597,0.30433025391827806,0.15292434269361474,0.22080101601124869,0.5878767355231967,0.45509989484752894,0.19644157262468148,0.043513295729250605
row_sim_5112,40.7365017292071,37.25152460163472,52.92531281773393,0.6722212198426111,0.6048190325051547,0.41372453216591387,0.12535247372468597,0.1532258064516129,0.21881611966737194,0.24953416149068322,0.20943220601923673,0.07522577041243832
row_sim_5113,11.080021157899942,47.666348955454495,51.898669762032114,0.9888458183904911,0.5100045684642514,0.4177206109767222,0.10504074856625414,0.21772116656226073,0.26723734082875517,0.5454545454545454,0.13452841049255818,0.07528719912472648
row_sim_5114,58.590223692521626,48.52253401324853,7.469903639110057,0.6690243020663514,0.6988630242543126,0.30557654601378387,0.12890486856065073,0.1249209583362608,0.40765027322404374,0.23473031385077991,0.2707549258357317,0.0426506873457878
row_sim_5115,56.83038415929767,48.90877356558684,12.778894808057885,0.6058372294320707,0.6198684537091244,0.38622914598376984,0.15192391371915212,0.15205802886838837,0.3096265715894164,0.1947776342498616,0.2149582709180398,0.09265010351966874
row_sim_5116,9.953584162750397,56.18802831650286,9.384132635047417,0.9198916539396408,0.48224399390265915,0.4451430871418882,0.17971584038694075,0.31747268842634274,0.4258764472512347,0.5095698313435664,0.10451087917919688,0.14162077104642015
